"V1"|"V2"
"752"|"100841"|"101852"
"753"|"100841"|"108823"
"754"|"100841"|"108719"
"755"|"100841"|"109005"
"756"|"100841"|"108822"
"757"|"100841"|"108705"
"758"|"100841"|"108836"
"759"|"100841"|"107139"
"760"|"100854"|"100598"
"761"|"100854"|"107630"
"762"|"100854"|"108433"
"763"|"100854"|"100930"
"764"|"100854"|"100923"
"765"|"100854"|"100831"
"766"|"100854"|"107605"
"767"|"100854"|"108845"
"768"|"100854"|"104927"
"769"|"100854"|"104855"
"770"|"100854"|"107595"
"771"|"100854"|"105044"
"772"|"100854"|"109436"
"773"|"100881"|"103405"
"774"|"100881"|"107620"
"775"|"100881"|"107619"
"776"|"100881"|"107368"
"777"|"100881"|"105855"
"778"|"100881"|"100895"
"779"|"100881"|"104423"
"780"|"100881"|"101090"
"781"|"100881"|"109725"
"782"|"100881"|"103468"
"783"|"100881"|"103609"
"784"|"100881"|"109325"
"785"|"100881"|"108940"
"786"|"100881"|"102770"
"787"|"100881"|"107626"
"788"|"100887"|"108054"
"789"|"100887"|"108663"
"790"|"100895"|"107321"
"791"|"100895"|"102970"
"792"|"100895"|"105327"
"793"|"100895"|"103468"
"794"|"100895"|"100881"
"795"|"100895"|"100489"
"796"|"100895"|"106412"
"797"|"100895"|"107877"
"798"|"100895"|"104929"
"799"|"100895"|"104770"
"800"|"100895"|"102154"
"801"|"100895"|"104500"
"802"|"100895"|"104157"
"803"|"100895"|"100042"
"804"|"100895"|"107818"
"805"|"100902"|"102748"
"806"|"100905"|"100430"
"807"|"100905"|"101296"
"808"|"100906"|"105237"
"809"|"100923"|"101847"
"810"|"100923"|"106780"
"811"|"100923"|"101552"
"812"|"100923"|"105314"
"813"|"100923"|"103288"
"814"|"100923"|"104298"
"815"|"100923"|"106677"
"816"|"100923"|"107949"
"817"|"100923"|"100598"
"818"|"100923"|"100783"
"819"|"100923"|"102768"
"820"|"100923"|"101852"
"821"|"100923"|"100831"
"822"|"100923"|"106683"
"823"|"100923"|"104112"
"824"|"100930"|"104801"
"825"|"100930"|"104927"
"826"|"100930"|"101873"
"827"|"100930"|"100854"
"828"|"100934"|"106941"
"829"|"100934"|"108705"
"830"|"100934"|"107142"
"831"|"100934"|"101852"
"832"|"100934"|"108845"
"833"|"100934"|"103456"
"834"|"100934"|"106677"
"835"|"100934"|"102768"
"836"|"100934"|"100783"
"837"|"100934"|"100923"
"838"|"100934"|"102620"
"839"|"100934"|"102982"
"840"|"100934"|"109005"
"841"|"100934"|"108834"
"842"|"100934"|"108562"
"843"|"100937"|"100923"
"844"|"100937"|"106941"
"845"|"100937"|"101147"
"846"|"100937"|"106677"
"847"|"100937"|"100934"
"848"|"100937"|"100783"
"849"|"100937"|"102768"
"850"|"100937"|"104112"
"851"|"100937"|"109649"
"852"|"100953"|"101594"
"853"|"100953"|"106628"
"854"|"100953"|"104629"
"855"|"100953"|"103469"
"856"|"100953"|"101415"
"857"|"100953"|"101620"
"858"|"100953"|"105072"
"859"|"100953"|"100109"
"860"|"100953"|"101101"
"861"|"100953"|"103845"
"862"|"100953"|"103044"
"863"|"100953"|"106412"
"864"|"100953"|"106014"
"865"|"100953"|"103299"
"866"|"100953"|"108954"
"867"|"100961"|"102769"
"868"|"100961"|"101415"
"869"|"100961"|"109584"
"870"|"100961"|"102685"
"871"|"100961"|"108985"
