state|county|totpop|totalhouseholds|whitepct|blackpct|asianpct|hispanpct|foreignlangpct|average_household_size|home_own_pct|median_home_value|median_rent|pct_moved_last_two_years|median_income|percent_poor|healthpct|bachelorpct|firstreg|secondreg|thirdreg
"Iowa"|"Montgomery County"|10053|4554|.9458868|.0010942|.001691|.0380981|.0944992|2.16|.7022398|85700|644|.023|51696|.106|.9464836|.0970854|"Mainline Protestant"|"Evangelical Lutheran"|"United Methodist"
"Iowa"|"Muscatine County"|42889|16660|.903565|.0248315|.0090466|.178997|.1907482|2.54|.7343338|130500|831|.013|58453|.076|.9490545|.0976707|"Mainline Protestant"|"Catholic"|"United Methodist"
"Iowa"|"O'Brien County"|13835|6169|.9577159|.0126491|.009541|.049223|.112107|2.18|.7168099|107000|585|.019|53703|.065|.9461511|.0977232|"Mainline Protestant"|"Evangelical Protestant"|"Protestant Reformed"
"Iowa"|"Osceola County"|6052|2633|.9446464|.0125578|.0013219|.080965|.134501|2.26|.7838967|93700|639|.023|59725|.086|.9423331|.0930271|"Mainline Protestant"|"Evangelical Protestant"|"Evangelical Lutheran"
"Iowa"|"Page County"|15268|6280|.9374509|.0199764|.0099555|.0348441|.0774823|2.25|.7154459|94400|663|.019|51867|.073|.8873461|.1091826|"Mainline Protestant"|"Evangelical Protestant"|"United Methodist"
"Iowa"|"Palo Alto County"|9003|3702|.958014|.0237699|.0033322|.0281017|.1031878|2.34|.7233928|102200|580|.023|52932|.039|.9332445|.1248473|"Mainline Protestant"|"Catholic"|"United Methodist"
"Iowa"|"Plymouth County"|25068|10250|.9451891|.0097335|.0065023|.0522977|.1125738|2.41|.7751219|163500|660|.017|67297|.059|.9398437|.1186772|"Catholic"|"Mainline Protestant"|"Evangelical Lutheran"
"Iowa"|"Pocahontas County"|6797|3215|.9602766|.0058849|.0133883|.0382522|.1054877|2.07|.7726283|76000|597|.017|52448|.063|.937031|.0853318|"Mainline Protestant"|"Catholic"|"Evangelical Lutheran"
"Iowa"|"Polk County"|479612|187798|.8402354|.0678006|.0456807|.0837448|.1948325|2.51|.6709763|179900|910|.006|67637|.071|.941263|.1690512|"Catholic"|"Mainline Protestant"|"Evangelical Protestant"
"Iowa"|"Pottawattamie County"|93393|36799|.9295772|.0175388|.007795|.0770507|.1243241|2.48|.6843392|139800|842|.009|60065|.078|.9320077|.0997398|"Mainline Protestant"|"Evangelical Protestant"|"Catholic"
"Iowa"|"Poweshiek County"|18388|7767|.93871|.0192517|.0212639|.0320318|.0955514|2.15|.6858504|141100|719|.023|53852|.075|.928921|.0972373|"Mainline Protestant"|"United Methodist"|"Evangelical Protestant"
